@relation baskball

@attribute assists_per_minute real
@attribute height integer
@attribute time_played real
@attribute age integer
@attribute points_per_minute real

@data
0.0983,191,40.71,30,0.5772
0.1276,196,38.4,28,0.5703
0.1671,201,34.1,31,0.5835
0.1906,193,36.2,30,0.5276
0.1061,191,36.75,27,0.5523
0.2446,185,38.43,29,0.4007
0.167,203,33.54,24,0.477
0.2485,188,35.01,27,0.4313
0.1227,198,36.67,29,0.4909
0.124,185,33.88,24,0.5668
0.1461,191,35.59,30,0.5113
0.2315,191,38.01,28,0.3788
0.0494,193,32.38,32,0.559
0.1107,196,35.22,25,0.4799
0.2521,183,31.73,29,0.5735
0.1007,193,28.81,34,0.6318
0.1067,196,35.6,23,0.4126
0.1956,188,35.28,32,0.428
0.1728,191,29.54,28,0.4488
0.1627,196,31.35,28,0.5581
0.1403,198,33.5,23,0.4866
0.1563,193,34.56,32,0.5267
0.2681,183,39.53,27,0.5439
0.1236,196,26.7,34,0.4419
0.13,188,30.77,26,0.3998
0.0896,198,25.67,30,0.4125
0.2071,178,36.22,30,0.4086
0.2144,185,36.55,23,0.4624
0.3437,185,34.91,31,0.4125
0.1158,191,28.35,28,0.4903
0.2326,185,33.53,27,0.4602
0.1577,193,31.07,25,0.4345
0.2327,185,36.52,32,0.4819
0.1256,196,27.87,29,0.6044
0.107,198,24.31,34,0.3991
0.1343,193,31.26,28,0.4614
0.0586,196,22.18,23,0.4013

0.2282,185,10.08,24,0.2481
0.1778,185,18.56,23,0.2902
0.1863,185,11.81,23,0.371
0.1014,193,13.81,32,0.1693
